6,99
10,54
13,188
14,75
18,126
19,199
19,219
30,139
35,19
36,280
39,285
46,270
49,146
52,32
58,61
60,50
65,267
67,249
68,68
76,133
82,214
82,284
87,60
91,38
101,61
105,113
105,184
111,117
125,186
134,8
136,179
137,201
138,185
141,74
146,12
148,114
151,267
154,172
160,240
161,121
163,217
164,188
164,265
165,32
168,113
169,230
180,140
183,277
192,266
197,229
203,132
205,250
206,31
210,40
219,212
226,255
227,128
241,187
244,73
247,270
253,250
256,88
271,233
273,84
275,71
277,147
277,252
279,91
279,263
283,187
294,211
