15,87
17,94
31,81
33,250
34,193
37,215
39,250
40,24
48,134
48,203
49,238
50,26
50,100
50,166
50,179
50,193
51,293
53,185
56,230
62,54
62,202
68,173
74,17
74,166
88,176
93,201
98,6
101,166
103,286
107,61
107,228
111,280
114,199
121,80
126,155
130,70
132,12
133,33
133,90
139,228
144,233
150,145
152,107
152,246
156,229
162,261
169,208
177,270
180,26
182,49
183,20
188,142
196,224
200,161
211,239
223,264
225,247
225,280
226,204
235,286
237,78
237,160
238,42
246,159
252,219
252,237
254,108
255,130
256,146
257,193
261,169
263,193
267,61
269,138
270,257
270,294
278,204
284,19
284,136
293,239
